t,monthly_interest_rate,payment,interest,principal,balance
0,0.008333333333333333,877.5715700887993,0.0,0.0,100000.0
1,0.008333333333333333,877.5715700887993,833.3333333333334,44.23823675546589,99955.76176324453
2,0.008333333333333333,877.5715700887993,832.9646813603711,44.6068887284282,99911.1548745161
3,0.008333333333333333,877.5715700887993,832.5929572876341,44.97861280116513,99866.17626171494
4,0.008333333333333333,877.5715700887993,832.2181355142911,45.35343457450813,99820.82282714042
5,0.008333333333333333,877.5715700887993,831.8401902261702,45.73137986262907,99775.0914472778
6,0.008333333333333333,877.5715700887993,831.4590953939816,46.112474694817706,99728.97897258298
7,0.008333333333333333,877.5715700887993,831.0748247715247,46.49674531727453,99682.4822272657
8,0.008333333333333333,877.5715700887993,830.6873518938809,46.88421819491839,99635.59800907079
9,0.008333333333333333,877.5715700887993,830.2966500755899,47.27492001320934,99588.32308905758
10,0.008333333333333333,877.5715700887993,829.9026924088131,47.66887767998617,99540.6542113776
11,0.008333333333333333,877.5715700887993,829.5054517614799,48.06611832731937,99492.58809305028
12,0.008333333333333333,877.5715700887993,829.104900775419,48.466669313380294,99444.1214237369
13,0.008333333333333333,877.5715700887993,828.7010118644741,48.87055822432512,99395.25086551257
14,0.008333333333333333,877.5715700887993,828.2937572126048,49.2778128761945,99345.97305263637
15,0.008333333333333333,877.5715700887993,827.8831087719698,49.68846131682949,99296.28459131953
16,0.008333333333333333,877.5715700887993,827.4690382609961,50.102531827803205,99246.18205949174
17,0.008333333333333333,877.5715700887993,827.0515171624311,50.52005292636818,99195.66200656537
18,0.008333333333333333,877.5715700887993,826.6305167213781,50.941053367421205,99144.72095319795
19,0.008333333333333333,877.5715700887993,826.2060079433162,51.36556214548307,99093.35539105246
20,0.008333333333333333,877.5715700887993,825.7779615921039,51.793608496695356,99041.56178255577
21,0.008333333333333333,877.5715700887993,825.3463481879647,52.225221900834526,98989.33656065493
22,0.008333333333333333,877.5715700887993,824.9111380054578,52.66043208334145,98936.67612857159
23,0.008333333333333333,877.5715700887993,824.4723010714299,53.09926901736935,98883.57685955422
24,0.008333333333333333,877.5715700887993,824.0298071629518,53.54176292584748,98830.03509662837
25,0.008333333333333333,877.5715700887993,823.5836258052365,53.9879442835628,98776.0471523448
26,0.008333333333333333,877.5715700887993,823.13372626954,54.43784381925923,98721.60930852554
27,0.008333333333333333,877.5715700887993,822.6800775710461,54.891492517753136,98666.71781600779
28,0.008333333333333333,877.5715700887993,822.2226484667316,55.34892162206768,98611.36889438573
29,0.008333333333333333,877.5715700887993,821.7614074532144,55.8101626355849,98555.55873175015
30,0.008333333333333333,877.5715700887993,821.2963227645846,56.27524732421466,98499.28348442593
31,0.008333333333333333,877.5715700887993,820.8273623702161,56.7442077185832,98442.53927670735
32,0.008333333333333333,877.5715700887993,820.3544939725613,57.21707611623799,98385.32220059111
33,0.008333333333333333,877.5715700887993,819.8776850049259,57.6938850838734,98327.62831550723
34,0.008333333333333333,877.5715700887993,819.3969026292269,58.17466745957233,98269.45364804765
35,0.008333333333333333,877.5715700887993,818.9121137337304,58.65945635506887,98210.79419169258
36,0.008333333333333333,877.5715700887993,818.4232849307715,59.14828515802776,98151.64590653456
37,0.008333333333333333,877.5715700887993,817.9303825544546,59.64118753434468,98092.00471900021
38,0.008333333333333333,877.5715700887993,817.4333726583351,60.138197430464174,98031.86652156974
39,0.008333333333333333,877.5715700887993,816.9322210130812,60.63934907571809,97971.22717249402
40,0.008333333333333333,877.5715700887993,816.4268931041169,61.144676984682405,97910.08249550934
