t,projection_year
0,0.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,5.0
50,5.0
51,5.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,5.0
61,6.0
62,6.0
63,6.0
64,6.0
65,6.0
66,6.0
67,6.0
68,6.0
69,6.0
70,6.0
71,6.0
72,6.0
73,7.0
74,7.0
75,7.0
76,7.0
77,7.0
78,7.0
79,7.0
80,7.0
81,7.0
82,7.0
83,7.0
84,7.0
85,8.0
86,8.0
87,8.0
88,8.0
89,8.0
90,8.0
91,8.0
92,8.0
93,8.0
94,8.0
95,8.0
96,8.0
97,9.0
98,9.0
99,9.0
100,9.0
101,9.0
102,9.0
103,9.0
104,9.0
105,9.0
106,9.0
107,9.0
108,9.0
109,10.0
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,11.0
122,11.0
123,11.0
124,11.0
125,11.0
126,11.0
127,11.0
128,11.0
129,11.0
130,11.0
131,11.0
132,11.0
133,12.0
134,12.0
135,12.0
136,12.0
137,12.0
138,12.0
139,12.0
140,12.0
141,12.0
142,12.0
143,12.0
144,12.0
145,13.0
146,13.0
147,13.0
148,13.0
149,13.0
150,13.0
151,13.0
152,13.0
153,13.0
154,13.0
155,13.0
156,13.0
157,14.0
158,14.0
159,14.0
160,14.0
161,14.0
162,14.0
163,14.0
164,14.0
165,14.0
166,14.0
167,14.0
168,14.0
169,15.0
170,15.0
171,15.0
172,15.0
173,15.0
174,15.0
175,15.0
176,15.0
177,15.0
178,15.0
179,15.0
180,15.0
181,16.0
182,16.0
183,16.0
184,16.0
185,16.0
186,16.0
187,16.0
188,16.0
189,16.0
190,16.0
191,16.0
192,16.0
193,17.0
194,17.0
195,17.0
196,17.0
197,17.0
198,17.0
199,17.0
200,17.0
201,17.0
202,17.0
203,17.0
204,17.0
205,18.0
206,18.0
207,18.0
208,18.0
209,18.0
210,18.0
211,18.0
212,18.0
213,18.0
214,18.0
215,18.0
216,18.0
217,19.0
218,19.0
219,19.0
220,19.0
221,19.0
222,19.0
223,19.0
224,19.0
225,19.0
226,19.0
227,19.0
228,19.0
229,20.0
230,20.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,21.0
242,21.0
243,21.0
244,21.0
245,21.0
246,21.0
247,21.0
248,21.0
249,21.0
250,21.0
251,21.0
252,21.0
253,22.0
254,22.0
255,22.0
256,22.0
257,22.0
258,22.0
259,22.0
260,22.0
261,22.0
262,22.0
263,22.0
264,22.0
265,23.0
266,23.0
267,23.0
268,23.0
269,23.0
270,23.0
271,23.0
272,23.0
273,23.0
274,23.0
275,23.0
276,23.0
277,24.0
278,24.0
279,24.0
280,24.0
281,24.0
282,24.0
283,24.0
284,24.0
285,24.0
286,24.0
287,24.0
288,24.0
289,25.0
290,25.0
291,25.0
292,25.0
293,25.0
294,25.0
295,25.0
296,25.0
297,25.0
298,25.0
299,25.0
300,25.0
301,26.0
302,26.0
303,26.0
304,26.0
305,26.0
306,26.0
307,26.0
308,26.0
309,26.0
310,26.0
311,26.0
312,26.0
313,27.0
314,27.0
315,27.0
316,27.0
317,27.0
318,27.0
319,27.0
320,27.0
321,27.0
322,27.0
323,27.0
324,27.0
325,28.0
326,28.0
327,28.0
328,28.0
329,28.0
330,28.0
331,28.0
332,28.0
333,28.0
334,28.0
335,28.0
336,28.0
337,29.0
338,29.0
339,29.0
340,29.0
341,29.0
342,29.0
343,29.0
344,29.0
345,29.0
346,29.0
347,29.0
348,29.0
349,30.0
350,30.0
351,30.0
352,30.0
353,30.0
354,30.0
355,30.0
356,30.0
357,30.0
358,30.0
359,30.0
360,30.0
361,31.0
362,31.0
363,31.0
364,31.0
365,31.0
366,31.0
367,31.0
368,31.0
369,31.0
370,31.0
371,31.0
372,31.0
373,32.0
374,32.0
375,32.0
376,32.0
377,32.0
378,32.0
379,32.0
380,32.0
381,32.0
382,32.0
383,32.0
384,32.0
385,33.0
386,33.0
387,33.0
388,33.0
389,33.0
390,33.0
391,33.0
392,33.0
393,33.0
394,33.0
395,33.0
396,33.0
397,34.0
398,34.0
399,34.0
400,34.0
401,34.0
402,34.0
403,34.0
404,34.0
405,34.0
406,34.0
407,34.0
408,34.0
409,35.0
410,35.0
411,35.0
412,35.0
413,35.0
414,35.0
415,35.0
416,35.0
417,35.0
418,35.0
419,35.0
420,35.0
421,36.0
422,36.0
423,36.0
424,36.0
425,36.0
426,36.0
427,36.0
428,36.0
429,36.0
430,36.0
431,36.0
432,36.0
433,37.0
434,37.0
435,37.0
436,37.0
437,37.0
438,37.0
439,37.0
440,37.0
441,37.0
442,37.0
443,37.0
444,37.0
445,38.0
446,38.0
447,38.0
448,38.0
449,38.0
450,38.0
451,38.0
452,38.0
453,38.0
454,38.0
455,38.0
456,38.0
457,39.0
458,39.0
459,39.0
460,39.0
461,39.0
462,39.0
463,39.0
464,39.0
465,39.0
466,39.0
467,39.0
468,39.0
469,40.0
470,40.0
471,40.0
472,40.0
473,40.0
474,40.0
475,40.0
476,40.0
477,40.0
478,40.0
479,40.0
480,40.0
481,41.0
482,41.0
483,41.0
484,41.0
485,41.0
486,41.0
487,41.0
488,41.0
489,41.0
490,41.0
491,41.0
492,41.0
493,42.0
494,42.0
495,42.0
496,42.0
497,42.0
498,42.0
499,42.0
500,42.0
501,42.0
502,42.0
503,42.0
504,42.0
505,43.0
506,43.0
507,43.0
508,43.0
509,43.0
510,43.0
511,43.0
512,43.0
513,43.0
514,43.0
515,43.0
516,43.0
517,44.0
518,44.0
519,44.0
520,44.0
521,44.0
522,44.0
523,44.0
524,44.0
525,44.0
526,44.0
527,44.0
528,44.0
529,45.0
530,45.0
531,45.0
532,45.0
533,45.0
534,45.0
535,45.0
536,45.0
537,45.0
538,45.0
539,45.0
540,45.0
541,46.0
542,46.0
543,46.0
544,46.0
545,46.0
546,46.0
547,46.0
548,46.0
549,46.0
550,46.0
551,46.0
552,46.0
553,47.0
554,47.0
555,47.0
556,47.0
557,47.0
558,47.0
559,47.0
560,47.0
561,47.0
562,47.0
563,47.0
564,47.0
565,48.0
566,48.0
567,48.0
568,48.0
569,48.0
570,48.0
571,48.0
572,48.0
573,48.0
574,48.0
575,48.0
576,48.0
577,49.0
578,49.0
579,49.0
580,49.0
581,49.0
582,49.0
583,49.0
584,49.0
585,49.0
586,49.0
587,49.0
588,49.0
589,50.0
590,50.0
591,50.0
592,50.0
593,50.0
594,50.0
595,50.0
596,50.0
597,50.0
598,50.0
599,50.0
600,50.0
601,51.0
602,51.0
603,51.0
604,51.0
605,51.0
606,51.0
607,51.0
608,51.0
609,51.0
610,51.0
611,51.0
612,51.0
613,52.0
614,52.0
615,52.0
616,52.0
617,52.0
618,52.0
619,52.0
620,52.0
621,52.0
622,52.0
623,52.0
624,52.0
625,53.0
626,53.0
627,53.0
628,53.0
629,53.0
630,53.0
631,53.0
632,53.0
633,53.0
634,53.0
635,53.0
636,53.0
637,54.0
638,54.0
